Win,Def.Rank,Def.Plays,Yards.Allowed,Yards.Play.Allowed,Off.TDs.Allowed,Total.TDs.Allowed,Yards.Per.Game.Allowed,First.Down.Def.Rank,Opp.First.Down.Runs,Opp.First.Down.Passes,Opp.First.Down.Penalties,Opp.First.Downs,X4rd.Down.Def.Rank,Opp.4th.Conversion,Opp.4th.Attempt,Opponent.4th.Percent,Interceptions.Thrown.x,Pass.Def.Rank,Opp.Completions.Allowed,Opp.Pass.Attempts,Opp.Pass.Yds.Allowed,Opp.Pass.TDs.Allowed,Yards.Attempt.Allowed,Yards.Completion.Allowed,Redzone.Def.Rank,Opp.Redzone.Attempts,Opp.Redzone.Rush.TD.Allowed,Opp.Redzone.Pass.Touchdowns.Allowed,Opp.Redzone.Field.Goals.Made,Opp.Redzone.Scores,Redzone.Points.Allowed,Rushing.Def.Rank,Opp.Rush.Attempts,Opp.Rush.Yards.Alloweed,Yds.Rush.Allowed,Opp.Rush.Touchdowns.Allowed,Rush.Yards.Per.Game.Allowed,Sack.Rank,Sacks,Sack.Yards,Average.Sacks.per.Game,Scoring.Def.Rank,Touchdowns.Allowed,Opponent.Extra.Points,X2.Point.Conversions.Allowed,Opp.Feild.Goals.Made,Opp.Safety,Points.Allowed,Avg.Points.per.Game.Allowed,Defensive.Points,Safety,Tackle.for.Loss.Rank,Solo.Tackle.For.Loss,Assist.Tackle.For.Loss,Tackle.for.Loss.Yards,Total.Tackle.For.Loss,Tackle.For.Loss.Per.Game,X3rd.Down.Def.Rank,Opp.3rd.Conversion,Opp.3rd.Attempt,Opponent.3rd.Percent,Turnover.Rank,Fumbles.Recovered,Opponents.Intercepted,Turnovers.Gain,,,,,,
8,809,4257,5.26,38,41,327.5,8,101,96,11,208,51,7,17,0.412,116,1001,9,2515,6.52,11.86,16,193.5,16,45,15,10,13,38,0.844,113,50,533,2486,4.66,18,191.2,36,470,1868,3.97,24,143.7,47,24,1.85,35,41,39,312,102,1,0,17,1,319,24.5,62,4.8,54,194,64,174,0.368,8,27,10,9,19,8,0.62
3,931,4568,4.91,33,37,380.7,67,138,110,19,267,116,18,26,0.692,119,773,15,2955,7.05,12.79,17,246.3,8,27,7,8,8,23,0.852,22,126,336,1052,3.13,10,87.7,95,576,2481,4.31,25,206.8,26,17,1.42,54,37,36,319,121,0,0,9,0,239,19.9,46,3.8,84,170,77,197,0.391,126,18,8,15,23,-5,-0.42
9,907,5221,5.76,38,40,401.6,91,122,147,12,281,61,10,19,0.526,79,404,4,1679,10.49,20.23,9,129.2,68,41,24,1,10,35,0.854,41,9,611,3355,5.49,34,258.1,64,473,2239,4.73,24,172.2,17,16,1.23,39,40,38,318,70,0,0,15,0,367,28.2,57,4.4,51,153,93,189,0.492,57,19,11,4,15,4,0.31
9,866,4155,4.8,35,37,319.6,9,74,123,16,213,13,8,19,0.421,104,991,15,3852,7.37,10.94,24,296.3,51,64,26,17,12,55,0.859,93,99,561,1912,3.41,29,147.1,4,447,1302,2.91,16,100.2,111,37,2.85,30,37,34,305,26,0,0,16,4,466,35.8,100,7.7,14,231,69,202,0.342,14,18,10,15,25,-7,-0.54
9,893,5568,6.24,48,52,428.3,104,108,155,28,291,29,11,20,0.55,9,876,11,3240,7.5,12.23,19,249.2,121,58,21,12,18,51,0.879,121,98,488,1921,3.94,24,147.8,40,445,1883,4.23,17,144.8,52,25,1.92,86,52,48,407,54,1,0,26,1,400,30.8,66,5.1,74,182,74,175,0.423,27,28,6,11,17,11,0.85
3,877,4861,5.54,46,47,405.1,51,126,112,20,258,97,5,16,0.313,117,676,9,2095,5.85,11.45,13,174.6,17,31,8,9,7,24,0.774,102,105,353,1686,4.78,14,140.5,105,569,2630,4.62,35,219.2,39,20,1.67,94,47,46,383,122,2,0,12,1,236,19.7,95,7.9,127,155,78,175,0.446,121,18,11,9,20,-2,-0.17
6,971,4941,5.09,37,42,380.1,40,112,123,18,253,124,17,27,0.63,46,688,18,3559,7.8,13.53,21,273.8,53,49,14,10,11,35,0.714,113,92,534,1979,3.71,18,152.2,53,554,2085,3.76,20,160.4,78,29,2.23,57,42,37,354,88,1,0,16,3,335,25.8,97,7.5,69,203,68,207,0.329,95,23,11,18,29,-6,-0.46
8,893,4565,5.11,28,30,351.2,20,106,115,15,236,11,12,21,0.571,58,428,10,1991,6.42,11.38,17,153.2,29,41,16,11,9,36,0.878,13,67,502,2234,4.45,23,171.8,45,492,1947,3.96,10,149.8,84,30,2.31,13,30,29,245,95,1,0,10,1,324,24.9,60,4.6,120,157,64,183,0.35,105,18,2,10,12,6,0.46
3,911,5435,5.97,48,48,452.9,107,147,126,20,293,77,9,15,0.6,73,629,8,3106,7.8,13.22,21,258.8,75,41,15,9,14,38,0.927,110,82,458,1953,4.26,18,162.8,103,526,2618,4.98,23,218.2,101,32,2.67,88,48,47,376,71,0,0,16,1,332,27.7,80,6.7,44,177,78,174,0.448,69,13,8,8,16,-3,-0.25
2,906,5474,6.04,53,58,456.2,85,149,107,21,277,125,8,18,0.444,65,432,22,2885,6.2,10.38,16,240.4,54,32,8,9,10,27,0.844,21,116,405,1429,3.53,11,119.1,114,549,2837,5.17,27,236.4,81,27,2.25,114,58,50,448,120,1,0,13,1,243,20.3,90,7.5,116,182,62,174,0.356,99,22,14,22,36,-14,-1.17
9,874,5040,5.77,37,37,387.7,60,89,155,18,262,22,10,24,0.417,23,773,5,2041,6.61,11.53,10,157,114,62,36,7,14,57,0.919,22,22,572,3013,5.27,39,231.8,11,400,1495,3.74,11,115,52,25,1.92,25,37,35,290,45,0,0,15,0,419,32.2,70,5.4,22,174,64,171,0.374,20,25,7,5,12,13,1
3,890,4638,5.21,40,43,386.5,56,134,105,21,260,116,10,16,0.625,55,871,8,1700,5.82,11.56,11,141.7,22,35,10,7,10,27,0.771,59,76,473,2010,4.25,15,167.5,76,537,2277,4.24,24,189.8,109,34,2.83,67,43,37,344,117,0,0,15,0,247,20.6,69,5.8,115,181,72,181,0.398,81,24,5,8,13,11,0.92
7,928,5645,6.08,45,50,434.2,110,157,123,15,295,3,7,13,0.538,41,997,12,2419,7.75,14.23,17,186.1,35,42,19,6,11,36,0.857,44,20,560,3044,5.44,30,234.2,110,576,2966,5.15,25,228.2,68,28,2.15,86,50,48,407,58,2,0,16,0,390,30,69,5.3,77,184,80,180,0.444,65,21,16,12,28,-7,-0.54
4,867,5764,6.65,53,60,480.3,105,153,119,20,292,61,6,15,0.4,105,968,16,2304,6.33,11.64,15,192,55,40,18,6,7,31,0.775,98,57,512,2176,4.25,21,181.3,125,545,3123,5.73,31,260.3,32,19,1.58,122,60,54,469,110,0,0,9,1,280,23.3,68,5.7,48,191,68,152,0.447,72,13,8,16,24,-11,-0.92
6,929,4928,5.3,37,39,379.1,63,93,156,16,265,121,9,20,0.45,4,643,13,2317,6.76,11.36,12,178.2,90,46,19,7,15,41,0.891,81,59,586,2326,3.97,21,178.9,23,490,1679,3.43,19,129.2,106,36,2.77,46,39,33,329,109,1,1,19,0,307,23.6,79,6.1,91,198,72,194,0.371,67,18,4,13,17,1,0.08
9,1018,5893,5.79,60,62,420.9,127,130,183,23,336,22,15,24,0.625,90,1693,9,5087,9.37,14.05,43,363.4,116,69,23,21,15,59,0.855,112,94,417,2119,5.08,30,151.4,42,524,2047,3.91,27,146.2,57,28,2,97,62,60,470,2,0,0,22,1,620,44.3,88,6.3,7,155,85,187,0.455,91,18,8,9,17,1,0.07
9,894,4189,4.69,36,38,322.2,15,84,115,28,227,6,9,19,0.474,71,1835,10,3777,8.66,15.23,32,290.5,37,76,26,21,16,63,0.829,96,13,525,3148,6,37,242.2,12,483,1497,3.1,7,115.2,124,47,3.62,31,38,34,309,6,1,0,19,0,553,42.5,94,7.2,60,180,64,203,0.315,87,25,22,10,32,-7,-0.54
8,793,3773,4.76,16,16,314.4,3,77,100,15,192,128,10,19,0.526,27,919,7,2281,7.65,13.11,12,190.1,23,40,19,6,8,33,0.825,50,21,459,2796,6.09,30,233,13,429,1407,3.28,7,117.3,32,19,1.58,5,16,12,189,68,0,0,11,1,340,28.3,77,6.4,38,152,61,189,0.323,40,17,10,7,17,0,0
3,857,5472,6.39,49,55,456,100,120,137,33,290,7,14,23,0.609,81,471,12,2902,6.63,10.99,28,241.8,99,34,11,14,3,28,0.824,36,122,396,1298,3.28,12,108.2,89,485,2428,5.01,28,202.3,85,28,2.33,107,55,52,423,80,1,0,4,0,317,26.4,70,5.8,110,173,66,165,0.4,64,20,4,12,16,4,0.33
6,980,5552,5.67,50,52,427.1,115,143,129,27,299,111,10,26,0.385,21,952,9,2317,6.77,11.82,15,178.2,45,38,16,7,9,32,0.842,27,43,533,2594,4.87,26,199.5,99,586,2792,4.76,31,214.8,127,49,3.77,74,52,45,384,88,2,0,10,0,335,25.8,87,6.7,108,181,72,192,0.375,100,12,10,9,19,-7,-0.54
2,886,5432,6.13,50,53,452.7,96,119,142,25,286,61,15,25,0.6,98,1029,15,3080,7.06,12.17,27,256.7,106,41,9,16,7,32,0.78,102,124,366,1194,3.26,10,99.5,81,492,2317,4.71,23,193.1,126,45,3.75,108,53,47,426,110,0,1,7,0,280,23.3,70,5.8,118,160,69,171,0.404,113,15,10,15,25,-10,-0.83
8,1025,5910,5.77,48,49,454.6,120,137,147,25,309,29,14,23,0.609,2,449,10,3957,8.3,13.06,34,304.4,89,55,19,16,9,44,0.8,56,84,487,2071,4.25,23,159.3,93,530,2664,5.03,28,204.9,103,35,2.69,68,49,48,375,15,3,0,21,0,505,38.8,74,5.7,62,194,73,192,0.38,108,29,11,10,21,8,0.62
9,945,4492,4.75,27,28,345.5,26,102,123,20,245,88,7,24,0.292,107,763,7,3564,8.37,13.55,27,274.2,47,54,15,16,13,44,0.815,33,93,435,1973,4.54,24,151.8,26,499,1713,3.43,10,131.8,52,25,1.92,12,28,28,241,37,0,0,21,0,446,34.3,108,8.3,99,171,81,210,0.386,98,19,3,7,10,9,0.69
6,876,4592,5.24,36,39,353.2,60,114,119,29,262,86,11,22,0.5,75,908,7,2998,8.37,14.14,27,230.6,40,40,7,15,11,33,0.825,27,107,484,1772,3.66,9,136.3,37,468,1877,4.01,21,144.4,120,42,3.23,31,39,36,309,114,0,0,11,2,297,22.8,68,5.2,88,164,73,179,0.408,22,21,13,7,20,1,0.08
10,809,3403,4.21,20,22,261.8,1,91,71,24,186,9,11,27,0.407,91,928,7,2756,7.45,12.09,20,212,1,68,32,12,18,62,0.912,3,33,574,2768,4.82,41,212.9,15,481,1550,3.22,9,119.2,40,22,1.69,2,22,17,183,11,2,2,19,0,524,40.3,121,9.3,40,183,37,176,0.21,15,19,5,7,12,7,0.54
3,792,4378,5.53,40,42,364.8,14,92,108,23,223,80,11,17,0.647,87,678,11,2668,7.21,12.64,19,222.3,36,42,12,12,10,34,0.81,111,65,471,2072,4.4,14,172.7,51,460,1904,4.14,21,158.7,81,27,2.25,61,42,39,333,104,2,0,15,0,289,24.1,56,4.7,80,173,71,168,0.423,31,13,7,11,18,-5,-0.42
8,1068,5843,5.47,61,62,449.5,122,150,150,19,319,122,25,41,0.61,74,1365,15,4236,7.62,12.14,39,325.8,95,59,19,26,10,55,0.932,35,48,417,2494,5.98,26,191.8,85,577,2583,4.48,37,198.7,11,14,1.08,109,62,59,465,12,1,0,16,0,516,39.7,65,5,26,184,81,210,0.386,94,19,6,15,21,-2,-0.15
9,940,4534,4.82,34,35,348.8,30,95,129,23,247,61,12,26,0.462,18,563,12,2257,6.88,12.47,9,173.6,73,56,30,8,11,49,0.875,109,54,558,2387,4.28,34,183.6,14,453,1532,3.38,12,117.8,19,17,1.31,21,35,28,287,63,0,0,22,1,381,29.3,101,7.8,82,190,83,214,0.388,41,25,5,12,17,8,0.62
6,957,5968,6.24,50,53,459.1,113,110,172,16,298,61,19,28,0.679,53,843,10,2726,6.63,11.85,24,209.7,120,53,18,13,10,41,0.774,43,23,532,2997,5.63,24,230.5,70,485,2308,4.76,17,177.5,25,18,1.38,93,53,44,413,56,1,0,11,0,395,30.4,81,6.2,63,192,78,190,0.411,83,23,6,10,16,7,0.54
4,949,5756,6.07,45,49,479.7,77,120,133,20,273,48,5,12,0.417,122,541,10,3545,7.91,14.24,25,295.4,86,51,19,14,5,38,0.745,52,38,500,2461,4.92,24,205.1,112,531,2794,5.26,28,232.8,16,14,1.17,90,49,48,378,48,1,0,6,0,377,31.4,72,6,43,193,86,194,0.443,128,20,13,10,23,-3,-0.25
9,959,6076,6.34,52,54,434,119,136,161,10,307,21,18,27,0.667,7,1008,7,1794,11.35,19.29,9,128.1,100,69,49,6,7,62,0.899,117,4,742,4342,5.85,61,310.1,71,546,2519,4.61,23,179.9,38,23,1.64,84,54,51,434,20,1,0,8,1,531,37.9,56,4,1,167,107,200,0.535,39,18,9,7,16,2,0.14
7,894,4586,5.13,34,34,352.8,31,81,141,26,248,93,17,27,0.63,60,959,12,3383,7.72,12.86,20,260.2,82,54,21,11,8,40,0.741,66,86,504,2030,4.03,23,156.2,8,424,1412,3.33,18,108.6,19,17,1.31,27,34,30,296,75,0,0,9,0,351,27,89,6.8,35,192,67,192,0.349,29,22,8,12,20,2,0.15
9,855,4728,5.53,38,40,363.7,18,91,121,19,231,37,12,26,0.462,92,840,9,2752,6.88,13.69,18,211.7,49,45,21,7,9,37,0.822,73,73,523,2199,4.2,24,169.2,43,433,1922,4.44,22,147.8,14,15,1.15,33,40,31,311,79,1,0,12,0,345,26.5,68,5.2,33,196,67,179,0.374,26,19,5,9,14,5,0.38
3,909,5960,6.56,54,60,496.7,99,133,141,15,289,48,8,17,0.471,127,768,15,2939,6.38,11.62,22,244.9,97,46,11,12,11,34,0.739,89,70,453,2037,4.5,13,169.8,118,549,2931,5.34,31,244.3,113,36,3,121,60,56,466,97,0,0,15,1,298,24.8,73,6.1,111,189,83,177,0.469,117,23,7,15,22,1,0.08
8,987,5305,5.37,39,40,408.1,95,154,108,23,285,108,14,21,0.667,102,775,6,3811,8.3,12.18,30,293.2,12,55,18,18,10,46,0.836,34,100,401,1896,4.73,21,145.8,109,659,2955,4.48,28,227.3,30,20,1.54,43,40,39,324,44,0,0,15,0,420,32.3,67,5.2,21,165,89,209,0.426,127,14,10,6,16,-2,-0.15
5,942,5717,6.07,51,55,439.8,93,147,103,34,284,115,11,27,0.407,85,544,13,2708,6.03,10.38,15,208.3,27,41,17,10,6,33,0.805,83,109,426,1736,4.08,24,133.5,117,588,3114,5.3,31,239.5,121,43,3.31,96,55,46,424,99,0,0,9,1,322,24.8,73,5.6,105,181,92,193,0.477,104,22,8,13,21,1,0.08
5,936,5418,5.79,49,49,451.5,105,120,141,31,292,83,10,15,0.667,78,932,13,2688,6.72,11.59,20,224,93,50,20,12,9,41,0.82,17,16,549,2877,5.24,27,239.8,88,520,2410,4.63,24,200.8,2,8,0.67,80,49,46,364,55,0,0,11,0,366,30.5,73,6.1,58,203,70,185,0.378,101,16,4,13,17,-1,-0.08
7,974,5257,5.4,33,34,404.4,90,113,156,11,280,61,14,26,0.538,72,689,9,3186,6.6,11.3,22,245.1,109,42,14,10,7,31,0.738,9,91,501,1991,3.97,22,153.2,30,478,1809,3.78,20,139.2,113,39,3,24,34,27,289,87,0,0,8,1,338,26,77,5.9,75,195,69,189,0.365,120,25,7,9,16,9,0.69
4,842,4546,5.4,37,44,378.8,24,120,102,22,244,9,12,23,0.522,95,935,9,3051,7.86,13.62,27,254.3,21,48,14,16,10,40,0.833,45,80,438,1960,4.47,18,163.3,72,529,2189,4.14,23,182.4,85,28,2.33,62,44,37,334,53,0,2,13,1,371,30.9,61,5.1,65,168,67,172,0.39,82,14,9,9,18,-4,-0.33
8,984,5043,5.13,37,38,360.2,67,96,153,18,267,93,11,20,0.55,36,1308,12,3142,6.86,12.57,22,224.4,102,60,14,13,22,49,0.817,74,75,546,2350,4.3,17,167.9,5,495,1462,2.95,12,104.4,24,19,1.36,26,38,36,317,85,1,0,29,2,368,26.3,104,7.4,90,212,84,217,0.387,44,26,13,12,25,1,0.07
11,882,3858,4.37,19,22,296.8,5,88,104,8,200,18,8,23,0.348,30,984,7,2781,6.8,10.91,26,213.9,7,62,28,12,14,54,0.871,5,11,583,3188,5.47,33,245.2,19,481,1619,3.37,8,124.5,68,28,2.15,3,22,21,201,13,0,0,17,1,512,39.4,87,6.7,17,199,64,199,0.322,13,27,5,7,12,15,1.15
11,960,5616,5.85,44,46,432,82,112,145,19,276,51,15,27,0.556,86,1110,8,4134,10.77,15.25,43,318,111,59,24,17,11,52,0.881,25,18,573,3078,5.37,30,236.8,55,465,2114,4.55,15,162.6,36,21,1.62,68,46,43,375,3,2,0,11,0,571,43.9,68,5.2,4,169,92,216,0.426,25,17,9,8,17,0,0
10,979,5802,5.93,44,46,446.3,110,126,144,25,295,104,11,27,0.407,19,969,4,4211,9.06,14.27,29,323.9,98,69,29,14,18,61,0.884,13,68,491,2221,4.52,32,170.8,82,548,2515,4.59,22,193.5,93,32,2.46,53,46,37,345,17,1,1,20,0,502,38.6,90,6.9,41,179,76,195,0.39,84,25,10,4,14,11,0.85
10,921,4987,5.41,46,47,383.6,87,118,139,21,278,35,17,35,0.486,6,1144,6,3042,8.13,13.83,31,234,63,54,18,16,12,46,0.852,93,45,500,2559,5.12,27,196.8,50,503,2043,4.06,25,157.2,27,19,1.46,57,47,45,354,31,2,0,12,2,456,35.1,79,6.1,93,172,70,186,0.376,68,23,4,6,10,13,1
5,896,5535,6.18,46,50,461.3,74,137,116,17,270,112,9,14,0.643,62,921,14,3779,7.82,13.08,27,314.9,48,57,13,18,17,48,0.842,126,95,422,1793,4.25,17,149.4,120,546,2956,5.41,31,246.3,73,26,2.17,100,50,48,408,42,1,0,22,0,391,32.6,68,5.7,68,169,75,180,0.417,123,16,5,14,19,-3,-0.25
4,971,6221,6.41,67,68,518.4,128,157,156,24,337,17,7,16,0.438,63,513,6,3183,7.98,12.39,28,265.3,113,51,22,14,6,42,0.824,100,27,493,2717,5.51,29,226.4,121,522,2958,5.67,38,246.5,91,29,2.42,126,68,60,497,27,4,0,9,0,425,35.4,61,5.1,79,169,79,163,0.485,125,12,9,6,15,-3,-0.25
4,894,5150,5.76,40,45,429.2,85,133,118,26,277,127,12,23,0.522,22,661,11,2086,5.91,10.81,13,173.8,44,38,19,7,7,33,0.868,50,49,442,2300,5.2,24,191.7,102,492,2616,5.32,25,218,64,25,2.08,82,45,41,366,86,1,0,11,1,314,26.2,52,4.3,93,172,74,177,0.418,53,20,8,11,19,1,0.08
11,1023,5151,5.04,40,42,367.9,79,109,140,25,274,61,8,21,0.381,28,941,8,3650,9.34,16.15,29,260.7,50,67,26,11,21,58,0.866,106,66,540,2406,4.46,34,171.9,48,551,2118,3.84,22,151.3,41,24,1.71,47,42,40,356,21,1,0,22,0,526,37.6,113,8.1,117,172,84,219,0.384,102,21,12,8,20,1,0.07
8,985,5886,5.98,56,59,452.8,117,87,193,23,303,51,21,28,0.75,44,1297,9,2882,8.9,15.25,28,221.7,127,59,31,14,6,51,0.864,119,28,542,2926,5.4,36,225.1,16,436,1555,3.57,28,119.6,3,10,0.77,106,59,54,458,10,1,0,10,1,532,40.9,90,6.9,22,174,80,197,0.406,47,19,9,9,18,1,0.08
3,860,5350,6.22,57,59,445.8,57,135,112,14,261,90,9,13,0.692,5,743,25,3539,6.35,11.34,25,294.9,38,37,10,9,9,28,0.757,102,125,361,1154,3.2,12,96.2,115,545,2861,5.25,35,238.4,91,29,2.42,117,59,54,459,101,0,0,10,1,295,24.6,67,5.6,25,202,89,181,0.492,73,16,8,25,33,-17,-1.42
3,815,6054,7.43,55,58,504.5,51,120,124,14,258,11,10,17,0.588,109,722,10,2582,6.27,10.71,16,215.2,123,39,19,9,7,35,0.897,56,72,483,2036,4.22,23,169.7,101,477,2602,5.45,30,216.8,105,33,2.75,114,58,57,448,93,2,1,8,0,303,25.3,70,5.8,96,182,62,157,0.395,56,11,8,10,18,-7,-0.58
2,851,5408,6.35,54,60,450.7,23,143,87,12,242,97,11,21,0.524,99,836,7,1659,5,10.43,11,138.3,18,25,4,5,8,17,0.68,6,103,489,1739,3.56,8,144.9,126,556,3170,5.7,33,264.2,109,34,2.83,116,60,55,450,127,0,0,10,0,188,15.7,66,5.5,123,195,70,173,0.405,110,14,12,7,19,-5,-0.42
5,906,5436,6,52,56,453,71,128,124,16,268,112,14,23,0.609,113,1118,17,3168,6.95,12.77,22,264,80,52,10,14,16,40,0.769,101,81,478,1959,4.1,14,163.3,97,498,2526,5.07,30,210.5,73,26,2.17,111,56,52,435,71,0,0,18,0,332,27.7,72,6,39,208,69,183,0.377,54,26,7,17,24,2,0.17
6,900,5068,5.63,40,44,389.8,82,142,108,26,276,90,11,20,0.55,84,1017,14,3169,7.62,13.6,15,243.8,9,48,21,9,9,39,0.813,56,102,468,1893,4.04,25,145.6,100,587,2798,4.77,26,215.2,89,31,2.38,56,44,34,351,92,0,0,10,0,330,25.4,91,7,80,173,58,167,0.347,71,20,8,14,22,-2,-0.15
6,953,5355,5.62,40,44,411.9,113,144,134,20,298,60,14,24,0.583,128,1032,7,2771,6.89,11.17,12,213.2,39,45,18,8,8,34,0.756,16,108,475,1747,3.68,20,134.4,90,550,2642,4.8,20,203.2,118,41,3.15,51,44,40,344,116,1,0,13,0,270,20.8,70,5.4,109,184,81,190,0.426,62,27,13,7,20,7,0.54
11,1077,6266,5.82,50,50,482,125,144,159,23,326,1,18,34,0.529,93,1577,8,2941,8.22,13.07,26,226.2,122,50,30,5,8,43,0.86,68,5,570,3709,6.51,47,285.3,84,570,2554,4.48,29,196.5,14,15,1.15,92,50,42,411,4,1,0,10,0,569,43.8,79,6.1,27,189,85,217,0.392,114,26,9,8,17,9,0.69
10,887,4773,5.38,40,41,367.2,32,93,130,26,249,61,15,25,0.6,37,752,11,3593,7.76,11.82,33,276.4,65,57,11,25,11,47,0.825,49,42,506,2609,5.16,18,200.7,31,448,1815,4.05,16,139.6,6,12,0.92,38,41,39,315,36,1,0,18,1,447,34.4,71,5.5,11,178,67,189,0.354,28,20,9,11,20,0,0
7,739,4223,5.71,47,50,324.8,4,90,83,20,193,16,5,12,0.417,96,1158,16,3877,8.11,13.6,26,298.2,10,55,23,14,10,47,0.855,54,62,544,2269,4.17,26,174.5,46,427,1949,4.56,28,149.9,78,29,2.23,74,50,50,384,41,1,0,15,0,427,32.8,94,7.2,61,203,37,154,0.24,12,15,16,16,32,-17,-1.31
10,894,4785,5.35,33,33,368.1,40,105,129,19,253,61,16,28,0.571,59,510,9,2056,6.74,11.49,15,158.2,61,39,11,8,14,33,0.846,36,35,522,2716,5.2,20,208.9,38,457,1878,4.11,15,144.5,100,34,2.62,18,33,29,265,83,1,0,22,3,342,26.3,72,5.5,50,178,70,188,0.372,17,20,9,9,18,2,0.15
4,870,6013,6.91,55,61,501.1,81,121,139,15,275,15,9,17,0.529,118,847,13,3855,7.39,11.61,24,321.3,118,37,13,12,4,29,0.784,47,115,449,1435,3.2,15,119.6,108,497,2700,5.43,35,225,119,38,3.17,120,61,57,463,90,0,0,10,1,308,25.7,58,4.8,73,212,72,174,0.414,88,19,7,13,20,-1,-0.08
6,1006,5522,5.49,42,43,424.8,79,130,128,16,274,33,10,18,0.556,31,874,14,3486,6.93,11.82,18,268.2,77,60,25,8,15,48,0.8,116,46,488,2535,5.19,30,195,73,578,2416,4.18,23,185.8,89,31,2.38,64,43,39,364,52,1,0,18,0,403,31,86,6.6,64,197,98,225,0.436,96,16,6,14,20,-4,-0.31
10,852,3955,4.64,30,33,282.5,10,101,96,18,215,100,11,22,0.5,82,1566,13,3324,8.25,14.33,22,237.4,3,63,26,8,20,54,0.857,18,61,564,2466,4.37,31,176.1,25,510,1825,3.58,17,130.4,62,29,2.07,11,33,28,258,43,0,0,25,1,453,32.4,103,7.4,56,190,68,196,0.347,10,25,6,13,19,6,0.43
9,1000,5840,5.84,46,48,449.2,107,136,135,22,293,126,8,26,0.308,57,689,12,3100,8.18,13.03,28,238.5,72,49,23,13,7,43,0.878,81,37,517,2668,5.16,31,205.2,104,568,2841,5,28,218.5,52,25,1.92,68,48,45,375,24,0,0,11,0,473,36.4,100,7.7,59,175,78,206,0.379,107,24,14,12,26,-2,-0.15
5,955,5379,5.63,45,47,448.3,82,124,128,24,276,61,8,17,0.471,76,930,12,3024,7.52,12.55,21,252,105,55,20,9,15,44,0.8,69,17,597,2871,4.81,27,239.3,76,550,2277,4.14,23,189.8,101,32,2.67,90,47,43,378,46,0,0,17,2,383,31.9,91,7.6,100,194,72,188,0.383,93,20,11,12,23,-3,-0.25
8,1035,5743,5.55,37,38,441.8,118,133,142,31,306,42,7,21,0.333,49,417,9,3317,7.07,13.01,25,255.2,91,54,18,15,13,46,0.852,13,34,484,2754,5.69,28,211.8,80,573,2493,4.35,21,191.8,36,21,1.62,40,38,32,319,34,2,0,17,1,453,34.8,111,8.5,76,194,82,211,0.389,118,24,12,9,21,3,0.23
2,913,5653,6.19,61,63,471.1,96,138,122,26,286,77,10,14,0.714,101,747,17,2639,6.36,10.27,14,219.9,87,33,12,8,7,27,0.818,128,128,426,989,2.32,13,82.4,106,540,2668,4.94,33,222.3,125,44,3.67,125,63,54,493,124,1,0,7,0,223,18.6,63,5.3,122,187,74,175,0.423,109,11,8,17,25,-14,-1.17
5,943,6652,7.05,65,68,554.3,124,138,172,11,321,96,11,21,0.524,100,927,11,5556,8.51,12.98,47,463,125,63,20,26,11,57,0.905,76,123,389,1218,3.13,22,101.5,116,500,2863,5.73,37,238.6,95,30,2.5,128,68,66,522,5,0,0,13,0,524,43.7,47,3.9,3,195,71,164,0.433,48,13,6,11,17,-4,-0.33
9,888,5155,5.81,39,41,396.5,48,110,126,20,256,108,7,15,0.467,44,1297,9,4196,9.92,14.42,46,322.8,56,50,14,22,10,46,0.92,69,46,512,2535,4.95,17,195,67,474,2285,4.82,15,175.8,11,14,1.08,48,41,40,334,19,2,0,13,0,494,38,74,5.7,5,182,66,190,0.347,59,10,5,9,14,-4,-0.31
10,944,4765,5.05,33,36,366.5,34,92,136,22,250,8,18,33,0.545,10,867,13,3386,6.88,10.75,25,260.5,85,55,21,15,12,48,0.873,36,73,485,2199,4.53,28,169.2,17,462,1562,3.38,13,120.2,1,8,0.62,21,36,35,287,39,2,0,18,0,438,33.7,92,7.1,95,192,72,204,0.353,45,30,7,13,20,10,0.77
4,816,4374,5.36,37,42,364.5,11,100,98,18,216,42,3,9,0.333,8,522,8,1360,5.27,12.48,10,113.3,33,42,22,3,7,32,0.762,79,26,591,2737,4.63,25,228.1,52,472,1911,4.05,20,159.3,44,21,1.75,60,42,36,332,104,2,0,10,0,289,24.1,87,7.3,128,187,81,189,0.429,23,27,10,8,18,9,0.75
10,1013,5544,5.47,44,48,426.5,57,107,138,16,261,22,17,32,0.531,112,1517,12,3449,7.68,12.92,33,265.3,92,66,24,17,18,59,0.894,52,8,665,3402,5.12,33,261.7,68,526,2292,4.36,28,176.3,47,24,1.85,76,48,44,388,7,0,1,21,0,552,42.5,81,6.2,19,210,85,228,0.373,66,21,9,12,21,0,0
6,1008,4814,4.78,38,40,370.3,46,124,113,18,255,102,14,31,0.452,52,641,9,2726,6.08,11.17,14,209.7,28,35,17,6,9,32,0.914,2,104,527,1835,3.48,25,141.2,62,576,2204,3.83,22,169.5,106,36,2.77,42,40,36,320,66,3,0,17,1,374,28.8,103,7.9,125,212,64,221,0.29,106,26,16,9,25,1,0.08
4,944,4584,4.86,33,37,382,67,105,129,33,267,90,14,20,0.7,121,931,16,3547,7.18,12.99,22,295.6,43,39,11,11,9,31,0.795,90,127,345,1011,2.93,13,84.3,63,503,2058,4.09,21,171.5,57,24,2,59,37,34,330,96,1,0,13,0,299,24.9,65,5.4,103,176,69,199,0.347,116,23,9,16,25,-2,-0.17
